
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| HavocWrecker        | 4d9994cc843ed610dee1ed5d6d28abb955d7b77a | TZmUzIQ+1hDe4e1dbSiruVXXt3o | 178.217.185.141 |              72 |
| addnetCOMM          | 281c27e3bb983fbd0b9b20dc2e95f7aed368175c | KBwn47uYP70LmyDcLpX3rtNoF1w | 80.229.2.127    |              72 |
| chaoscomputerclub32 | 891bcf7ab2b23416b3757553ac6c785c7a5c20ba | iRvPerKyNBazdXVTrGx4XHpcILo | 217.115.10.132  |              72 |
| jessFarm            | fb86ae56cedd1ceac1b1fcae6bff91651fdf299f | +4auVs7dHOrBsfyua/+RZR/fKZ8 | 54.213.236.205  |              72 |
| vps92310            | 90b38759f8a20cc58ddfcf41aceeed7a74394ad2 | kLOHWfiiDMWN389BrO7tenQ5StI | 37.59.114.24    |              72 |
| HWhusky             | a5dfb6a7ea3c2a12f13444e4febc110d8eeed5c9 | pd+2p+o8KhLxNETk/rwRDY7u1ck | 198.52.200.39   |              72 |
| Xortifplan          | d3b958ea295b8349868774614a5ead53f909f074 | 07lY6ilbg0mGh3RhSl6tU/kJ8HQ | 108.20.121.108  |              70 |
| RG                  | bc20a4707dee2e69b496834ffb5f08b6875edf81 | vCCkcH3uLmm0loNP+18Itode34E | 89.250.145.84   |              68 |
| flatcap             | efe580acfe541c9dafef4c0c7b2fae55f3721200 | 7+WArP5UHJ2v70wMey+uVfNyEgA | 178.79.161.177  |              67 |
| marcuse2            | 1a503bbffc82a4efd75db46a071a7340e11a9db9 | GlA7v/yCpO/XXbRqBxpzQOEanbk | 178.20.55.18    |              66 |
| Effik1              | df8cad451e175bb05ef645731df23c33d4a20dad | 34ytRR4XW7Be9kVzHfI8M9SiDa0 | 94.142.233.175  |              65 |
| ItsHostedTOR        | c40b75286fe9859e5d7d6b1de7beb92630eb9260 | xAt1KG/phZ5dfWsd5765JjDrkmA | 178.20.170.229  |              64 |
| lttlebro            | 5207c59bd121a2a2ffb7f9b0b20d33ae20870285 | UgfFm9EhoqL/t/mwsg0zriCHAoU | 98.158.179.127  |              61 |
| TLC                 | 6bb2e39b71710b02004bdc5441c1140d95d50d59 | a7Ljm3FxCwIAS9xUQcEUDZXVDVk | 173.13.24.121   |              61 |
| nessuno             | 04475e02fcf1995e9f2ec11db71caae11bdaf372 | BEdeAvzxmV6fLsEdtxyq4Rva83I | 108.7.219.219   |              61 |
| babetor             | 88a67943e9c21e94a23a24695edd4cd2368356a2 | iKZ5Q+nCHpSiOiRpXt1M0jaDVqI | 213.133.109.4   |              58 |
| darksideofthemoon   | caeb311210447002536e1d8f2f23d3a0695295f2 | yusxEhBEcAJTbh2PLyPToGlSlfI | 84.112.207.44   |              58 |
| minibakery          | 74903cecc10e5e03e9d773e5590a7ef4c4e51410 | dJA87MEOXgPp13PlWQp+9MTlFBA | 213.139.139.177 |              56 |
| torstreiktnet       | d898e9320c1e24ebf9f2fc2e1b05b672abf9065d | 2JjpMgweJOv58vwuGwW2cqv5Bl0 | 78.47.226.8     |              56 |
| RelayTech           | 0542614cce67c51c1e2f77eee6b30a278006a9e6 | BUJhTM5nxRweL3fu5rMKJ4AGqeY | 84.31.236.202   |              55 |
| Alice               | 3612c429c29f698deab5072c75e2d700893d0cf1 | NhLEKcKfaY3qtQcsdeLXAIk9DPE | 62.197.40.155   |              54 |
| neckplug            | 0e9a44511d1a0d1dc15a52bce39cd2f9d20266f5 | DppEUR0aDR3BWlK845zS+dICZvU | 213.65.194.177  |              54 |
| somerandomstuff     | 6e53e696a773aa277e7e8e51c64f68beb5c0e2f2 | blPmlqdzqid+fo5Rxk9ovrXA4vI | 62.236.108.222  |              50 |
| clash               | 56bf3b636adf50b2013b3164ebede59d0c1c2ace | Vr87Y2rfULIBOzFk6+3lnQwcKs4 | 2.230.164.254   |              50 |
| Cottonio2           | 368e9406db4ff951b5f76adf37836ce8110a5f10 | No6UBttP+VG192rfN4Ns6BEKXxA | 95.62.113.126   |              50 |
| fluxe4              | ebe718e1a49ee229071702964f8db1f318075ff8 | 6+cY4aSe4ikHFwKWT42x8xgHX/g | 131.188.40.188  |              49 |
| OkupiedAmerika      | 058d4653e4982e456f10e5495a87ebde9dd1bd17 | BY1GU+SYLkVvEOVJWofr3p3RvRc | 108.89.120.174  |              49 |
| WorldIsMine         | 49b97aefbec6b86cbe5be0983dafd1e88d384bcb | Sbl6777GuGy+W+CYPa/R6I04S8s | 62.210.131.60   |              49 |
| lazyjoes            | db2574836f6e49509b300456e1d61f130009a669 | 2yV0g29uSVCbMARW4dYfEwAJpmk | 81.169.151.230  |              48 |
| flyinggecko2        | e81446abf04ff020657fd03575b605225515a080 | 6BRGq/BP8CBlf9A1dbYFIlUVoIA | 85.214.195.198  |              48 |
| apocrypha38         | 4807f34967bff7f1809cd1f5bc6cb7ae327a0068 | SAfzSWe/9/GAnNH1vGy3rjJ6AGg | 188.226.62.174  |              48 |
| BitVPS              | e92b6941749f6cf25c4085d9114e0726478024f9 | 6StpQXSfbPJcQIXZEU4HJkeAJPk | 207.12.89.88    |              48 |
| guilleministerelay  | 4ab343a562e44c8f083739ab57ffb436e4339827 | SrNDpWLkTI8INzmrV/+0NuQzmCc | 82.240.16.5     |              48 |
| invincibleAI        | aa5751a6e83d901899587c74115d45e06b42d339 | qldRpug9kBiZWHx0EV1F4GtC0zk | 80.90.43.129    |              48 |
| dyddsul             | 8a5e43e5af24c60eeee0263d547f6f6a882f6295 | il5D5a8kxg7u4CY9VH9vaogvYpU | 84.249.213.16   |              48 |
| jinglejangle        | 61d8fc117ed24972b0de67f63bc6ba77f623d867 | Ydj8EX7SSXKw3mf2O8a6d/Yj2Gc | 91.89.207.42    |              48 |
