
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| servbr1             | 9b33bf08d4dfeeb950cfa29988147c94047854f8 | mzO/CNTf7rlQz6KZiBR8lAR4VPg | 91.219.238.111  |              24 |
| browni7272          | 5d832887d26bbdf833e4b20bc85f65a2b3e9dc16 | XYMoh9Jrvfgz5LILyF9lorPp3BY | 87.231.166.27   |              24 |
| themessenger        | 518114ab17ac11ecde9489ac6ec1cd5c0c150962 | UYEUqxesEezelImsbsHNXAwVCWI | 80.220.66.32    |              24 |
| aeon                | ced7fc6fb44920bf87c0b1b45e2f6ef031186b69 | ztf8b7RJIL+HwLG0Xi9u8DEYa2k | 81.61.8.243     |              24 |
| minotor             | 4e1508988cb94ab8db3c93b7c96fad547741e9c3 | ThUImIy5SrjbPJO3yW+tVHdB6cM | 98.114.254.23   |              24 |
| mbTorServerNode     | e18e0924b390ca10e0402d565bfc595b7678abbb | 4Y4JJLOQyhDgQC1WW/xZW3Z4q7s | 178.254.55.101  |              24 |
| thenextgeneration   | 366d7c886d97194f3e9212b3740b3327468ffcfa | Nm18iG2XGU8+khKzdAszJ0aP/Po | 87.106.230.99   |              24 |
| 10atlantic          | 3d2185a3ab078640ef3e3a7488850be8dc4db98a | PSGFo6sHhkDvPjp0iIUL6NxNuYo | 95.85.63.74     |              24 |
| SigHorn             | 0e9fe8172f059958f9d402aa10843fff23466dbd | Dp/oFy8FmVj51AKqEIQ//yNGbb0 | 46.36.39.26     |              24 |
| funnyadultgamesplay | 5ef442af7b46744cd078c702fdffdb37188c0f21 | XvRCr3tGdEzQeMcC/f/bNxiMDyE | 74.3.165.39     |              24 |
| j23                 | 6583f4006f56859535aee6a97df360c5a3930621 | ZYP0AG9WhZU1ruapffNgxaOTBiE | 31.220.50.35    |              24 |
| escander            | 82fa9e27943d0b2fd3263328b0eece0d3d3b0461 | gvqeJ5Q9Cy/TJjMosO7ODT07BGE | 77.108.213.70   |              24 |
| marihess            | 0afd4bad79a320d9a548cddf2704c25c84bb2b4b | Cv1LrXmjINmlSM3fJwTCXIS7K0s | 177.138.221.87  |              24 |
| frsevpsnet          | c828feafa3e96d4849e86d79ad1d8cbc4deb8398 | yCj+r6PpbUhJ6G15rR2MvE3rg5g | 94.23.214.156   |              24 |
| CyberdineOne        | ea26bbe34ca683c9506b68eab5b353ad528b7d9d | 6ia740ymg8lQa2jqtbNTrVKLfZ0 | 62.113.250.224  |              24 |
| meowmeow            | 9d6fe81fbb248b1e3cfa0271b1d41b2677d14f8e | nW/oH7skix48+gJxsdQbJnfRT44 | 85.168.255.73   |              24 |
| berns               | 6edec582e2c71c0db9513be574a76fb188c9ee06 | bt7FguLHHA25UTvldKdvsYjJ7gY | 94.23.33.228    |              24 |
| kenntkeintor        | aae6c56bb639e13b06e3cd8c3c82e00186144148 | qubFa7Y54TsG482MPILgAYYUQUg | 85.214.192.251  |              24 |
| AlfredJKwak         | 8394d786c0c9cdeca95ec3e7340a60ed730a4130 | g5TXhsDJzeypXsPnNApg7XMKQTA | 87.212.11.165   |              24 |
| smfd                | 6be929553cb378d76ab46a813fd9f73e94334e8c | a+kpVTyzeNdqtGqBP9n3PpQzTow | 71.88.249.35    |              24 |
| jamalsamakito       | 4607eb748fa6e90e8f8b1f8ffc6c31d68a661119 | RgfrdI+m6Q6Pix+P/Gwx1opmERk | 144.76.109.178  |              24 |
| Budapest            | a2a0f83c9a65d213ddc3afa8fb21a24a936bb396 | oqD4PJpl0hPdw6+o+yGiSpNrs5Y | 212.96.58.189   |              24 |
| poiuty2             | a95ea1822aec5e909530ad2d33c1e08500b10d10 | qV6hgirsXpCVMK0tM8HghQCxDRA | 46.4.60.106     |              24 |
| silvanet            | 545a426180052c248a90382f8163c11ca1644c83 | VFpCYYAFLCSKkDgvgWPBHKFkTIM | 217.162.119.88  |              24 |
| theDabides          | fb0b66402e5c1add077c3155a1854a251755c320 | +wtmQC5cGt0HfDFVoYVKJRdVwyA | 207.7.149.138   |              24 |
| montani             | 047c3830b780bbefa17506629eac3bc15479cf9c | BHw4MLeAu++hdQZinqw7wVR5z5w | 162.220.217.76  |              24 |
| tts3000             | cc6229f1e2e266cd8fff08032113a2fadefcc4db | zGIp8eLiZs2P/wgDIROi+t78xNs | 198.144.186.177 |              24 |
| straylight          | 707ea69ef8e72ff341782b0b5845009d21d45c98 | cH6mnvjnL/NBeCsLWEUAnSHUXJg | 76.103.102.57   |              24 |
| mySEC               | 89aef9550b160b012579dd15c013a500387f8a04 | ia75VQsWCwEled0VwBOlADh/igQ | 87.106.179.235  |              24 |
| BlueRainAcidSky     | 951c8dbc44b6abe82597d93f2651d4d7c12a9317 | lRyNvES2q+gll9k/JlHU18Eqkxc | 50.31.252.43    |              24 |
| BrokenByDesign      | c7893fc9ea62049bcb512e8486880b361af45271 | x4k/yepiBJvLUS6EhogLNhr0UnE | 85.223.118.207  |              24 |
| Minus               | d22734c23156ac27e73e3a105e66061a5b4a17a6 | 0ic0wjFWrCfnPjoQXmYGGltKF6Y | 191.236.89.83   |              24 |
| freespeech          | c6cd24f947bb5d5a05c3684243791a3b08beda72 | xs0k+Ue7XVoFw2hCQ3kaOwi+2nI | 95.85.22.195    |              24 |
| jdkft90             | 5e34ba2272e7569a97f8a467cc86b8cfa563ec87 | XjS6InLnVpqX+KRnzIa4z6Vj7Ic | 194.58.92.168   |              24 |
| onionpi             | 87b7acfdc334dd62dfcd7a9a2fd7121d8846ca6b | h7es/cM03WLfzXqaL9cSHYhGyms | 75.67.224.109   |              24 |
| MischaBarton        | 30f27ac195f6393fc0cd9107f197a575f553acb1 | MPJ6wZX2OT/AzZEH8ZeldfVTrLE | 188.165.1.111   |              24 |
| matator             | e81805f71f5073918262f2fac7b157402b21c2de | 6BgF9x9Qc5GCYvL6x7FXQCshwt4 | 86.59.21.251    |              24 |
| OveSprogoee         | 37e5cf76c82b2b375d1bec7c77dd7cfe351d5b26 | N+XPdsgrKzddG+x8d918/jUdWyY | 178.32.74.62    |              24 |
| foo                 | 52748911f13d6ea1032539a398dc0790886c9c20 | UnSJEfE9bqEDJTmjmNwHkIhsnCA | 119.228.56.169  |              24 |
| monomorphic         | ea27df3229337345cbacc0b386f365709d614f90 | 6iffMikzc0XLrMCzhvNlcJ1hT5A | 121.101.94.167  |              24 |
| icebeerUSVegasVPS   | c1e042499b2739f29ee591c9af09e319dc8a5cc6 | weBCSZsnOfKe5ZHJrwnjGdyKXMY | 199.241.138.212 |              24 |
| incognYto           | b731b11f1823fd27f8286f47a6a05f0656422f8b | tzGxHxgj/Sf4KG9HpqBfBlZCL4s | 46.165.197.201  |              24 |
| aKUQjBSirrOzHYia    | e99b122baac1c009e7ce9f3dbbda5e909a9f198f | 6ZsSK6rBwAnnzp89u9pekJqfGY8 | 46.165.223.227  |              24 |
| jarvisboskse        | e8eef2de04ee6e4bd385b454d0ab4d480c96d4e6 | 6O7y3gTubkvThbRU0KtNSAyW1OY | 81.224.142.92   |              24 |
| FreedomsGate        | 23a909178ccbbad0689520ddcae28756a3d52824 | I6kJF4zLutBolSDdyuKHVqPVKCQ | 80.7.60.231     |              24 |
| marmot              | ed85760e3d2c65646ec99a0853a18d58dbe0b9dc | 7YV2Dj0sZWRuyZoIU6GNWNvgudw | 24.22.182.176   |              24 |
| vagina2             | be2fd85f72985f1b0f7531a9ce6a20f8e53e7d75 | vi/YX3KYXxsPdTGpzmog+OU+fXU | 217.153.16.81   |              24 |
| derpason            | 8780a342c6f038157558778bbc2db61fa5b6496c | h4CjQsbwOBV1WHeLvC22H6W2SWw | 71.197.235.5    |              24 |
| ReflexIronOxide     | 1581503f931c24592e828acbeb923da5127778ec | FYFQP5McJFkugorL65I9pRJ3eOw | 199.217.118.169 |              24 |
| Cikon               | 6178e2e3b08d45d150b94d80e17753fec7ecec05 | YXji47CNRdFQuU2A4XdT/sfs7AU | 95.215.45.47    |              24 |
| oskaarm             | a80c9c0fe816a6007b222cc1b39565d5a377943c | qAycD+gWpgB7IizBs5Vl1aN3lDw | 95.91.149.36    |              24 |
| sipbtor             | 711e9e5711a6e28e2a27de23b7c70c91d39908d0 | cR6eVxGm4o4qJ94jt8cMkdOZCNA | 18.187.1.68     |              24 |
| KansasCityMickey    | 28a7c79c44c5279a275a59bb2556740d1b0a55d7 | KKfHnETFJ5onWlm7JVZ0DRsKVdc | 104.167.107.142 |              24 |
| WhySoSerious        | df8124249c0cadacd645669537d2e787e09a0edd | 34EkJJwMrazWRWaVN9Lnh+CaDt0 | 128.199.171.218 |              24 |
| relay189            | 27b83cc22e045d0f9328c93c0eb79e9cdcb3e34f | J7g8wi4EXQ+TKMk8DreenNyz408 | 198.98.49.186   |              24 |
| 6cody5              | 9f89d52438a1a2252cfa971c54cb88d58860c6d1 | n4nVJDihoiUs+pccVMuI1YhgxtE | 76.108.230.244  |              24 |
| DOGECOIN            | fafd45cb69a259874a59a095cda4e0bdd5dd4a22 | +v1Fy2miWYdKWaCVzaTgvdXdSiI | 107.182.131.20  |              24 |
| semperAMS           | 78638ad08e54b8ac39d6896c352d844176c3054f | eGOK0I5UuKw51olsNS2EQXbDBU8 | 95.85.21.14     |              24 |
| Fruehlingszwiebel   | aee68505b9bf2dae6d4243a997e8d40fbfa1fae9 | ruaFBbm/La5tQkOpl+jUD7+h+uk | 37.187.53.69    |              24 |
| farfromreality      | 59c347796662ab055ac3a94266cdff0c4421a523 | WcNHeWZiqwVaw6lCZs3/DEQhpSM | 192.99.4.78     |              24 |
| Cloud               | 615abea2de76eb3760bc51e7306baa59f15cd8f2 | YVq+ot526zdgvFHnMGuqWfFc2PI | 5.135.158.101   |              24 |
| Winter              | 9ec5e097663862df861a18c32b37c5f82284b27d | nsXgl2Y4Yt+GGhjDKzfF+CKEsn0 | 146.185.177.103 |              24 |
| stevehughes         | 6e2208c4e691219c4f82bd434bb7bd2c4273ae5f | biIIxOaRIZxPgr1DS7e9LEJzrl8 | 178.116.18.235  |              24 |
| StarGate            | 05bcee7e7cc865314117d57f50b651e61fb8f12c | BbzufnzIZTFBF9V/ULZR5h+48Sw | 81.4.126.246    |              24 |
| UncleBens           | 0eb9e5496b862beb2c1b248dee5538a544bef435 | DrnlSWuGK+ssGySN7lU4pUS+9DU | 188.93.210.248  |              24 |
| che                 | d5f2c65f4131a1468d5b67a8838a9b7ed8c049e2 | 1fLGX0ExoUaNW2eog4qbftjASeI | 78.70.160.165   |              24 |
| chokaichokai        | a18563d0ce48696f20022a2552229d2062e1e036 | oYVj0M5IaW8gAiolUiKdIGLh4DY | 221.113.50.203  |              24 |
| KoptwanIndeass      | e02763d06b9980a07cd58efd3dbf40720b8faf3a | 4Cdj0GuZgKB81Y79Pb9AcguPrzo | 110.174.199.72  |              24 |
| hanfisTorRelay      | 70ff4fda8f72207907b0948709a2dd2b360622d4 | cP9P2o9yIHkHsJSHCaLdKzYGItQ | 88.198.56.140   |              24 |
| jedsnow             | 80d55ef019e44f69dec26c80d51584d3515feb46 | gNVe8BnkT2newmyA1RWE01Ff60Y | 98.110.125.23   |              24 |
| BITCOINxNODExAUT    | 9a777c068f13932307a68449cae4412231ad11ba | mnd8Bo8TkyMHpoRJyuRBIjGtEbo | 80.108.143.19   |              24 |
| ZeusPamplemousse    | 1d7c9eaa18f428b9432e4b721ece387c760d6d5e | HXyeqhj0KLlDLktyHs44fHYNbV4 | 198.244.102.9   |              24 |
| ShredOwl            | ebca226db00f8f5c51dbd7d3ad0dad30eb62fe9d | 68oibbAPj1xR29fTrQ2tMOti/p0 | 46.246.95.193   |              24 |
| 3APA3A              | 920e617ff7e6025c4c418079c10711f3531ec418 | kg5hf/fmAlxMQYB5wQcR81MexBg | 85.206.22.137   |              24 |
| curly               | b53f5de5fd55c836bed6bddbfc1dc906b4543821 | tT9d5f1VyDa+1r3b/B3JBrRUOCE | 216.12.198.84   |              24 |
| Chandler07          | e5a21c42b0fdb88e1a744d9a0388efb2a7a598cf | 5aIcQrD9uI4adE2aA4jvsqelmM8 | 89.207.132.76   |              24 |
| 418imateapot        | 4f7064220f056a39ab098ccbb71a0e04bfa519ae | T3BkIg8FajmrCYzLtxoOBL+lGa4 | 108.4.2.102     |              24 |
| SafeHouse           | f6ba96ed7a71c81c8f3d3d9b74bf8b92ba00dcaa | 9rqW7XpxyByPPT2bdL+LkroA3Ko | 46.12.43.3      |              24 |
| tingPLrice5         | a685a493342b15476a8aa35ce2868b62c0331d6b | poWkkzQrFUdqiqNc4oaLYsAzHWs | 128.42.142.45   |              24 |
| Anonplus            | 931980f64af8c1583611a99182a098390b97d34c | kxmA9kr4wVg2EamRgqCYOQuX00w | 68.71.248.143   |              24 |
| bsdam               | 138e6f4806ac3681bc178a97b0d58f3861b70663 | E45vSAasNoG8F4qXsNWPOGG3BmM | 198.100.150.2   |              24 |
| DFRI0               | dd8bd7307017407fcc36f8d04a688f74a0774c02 | 3YvXMHAXQH/MNvjQSmiPdKB3TAI | 171.25.193.20   |              24 |
| WeAreTheGoodGuys    | 3b9a6633c3397bd908c116bad944ab0d29839b00 | O5pmM8M5e9kIwRa62USrDSmDmwA | 62.210.204.19   |              24 |
| FryIssue            | 8abca5303220ffe72016f78046285592ab0a27b2 | irylMDIg/+cgFveARihVkqsKJ7I | 173.255.237.107 |              24 |
| figue               | d02dfbc70efd08abcbbb2e7011d649a094d55630 | 0C37xw79CKvLuy5wEdZJoJTVVjA | 88.208.205.138  |              24 |
| OhCanada            | 11cc680413f4fa50903062d15f8ccdfd3aa1a99c | EcxoBBP0+lCQMGLRX4zN/TqhqZw | 209.17.191.117  |              24 |
| froschschenkel      | d863cba45e94ff1bfaab59f9e4adea3f6ffe37f3 | 2GPLpF6U/xv6q1n55K3qP2/+N/M | 5.135.184.158   |              24 |
| pidideditheconfig   | d1b9fa03e17800f0434b8e37473bfb2df2028169 | 0bn6A+F4APBDS443Rzv7LfICgWk | 72.201.134.238  |              24 |
| draco               | e48765744ccb61b560dc9f18023d89be6094fe1f | 5IdldEzLYbVg3J8YAj2JvmCU/h8 | 24.3.40.222     |              24 |
| Eldorado            | 480b7c5efeacb9b5ce92cb662415f6fa669df0ac | SAt8Xv6subXOkstmJBX2+mad8Kw | 75.110.125.114  |              24 |
| trom                | 9d1ec7b9ff0c14e9e2aa32292bad6755886958f7 | nR7Huf8MFOniqjIpK61nVYhpWPc | 198.50.146.106  |              24 |
| NeefEef2            | a7f380042fb4efc005be8704836edca2ff4a3109 | p/OABC+078AFvocEg27cov9KMQk | 85.25.243.227   |              24 |
| TogepiOmelette      | 16bec3a2fb69361e7eb3184febafa487fa063ee7 | Fr7DovtpNh5+sxhP66+kh/oGPuc | 24.5.172.38     |              24 |
| Dyno                | c161678df210a1930e77296ab0ae706bf8c8b7a7 | wWFnjfIQoZMOdylqsK5wa/jIt6c | 85.4.115.74     |              24 |
| spfTOR3             | 95e8241450c143d639c52687d919e5a57b396660 | legkFFDBQ9Y5xSaH2RnlpXs5ZmA | 62.220.135.129  |              24 |
| gordonkeybag        | 9a0d54d3a6d2e0767596bf1515e6162a75b3293f | mg1U06bS4HZ1lr8VFeYWKnWzKT8 | 91.229.20.27    |              24 |
| sche1enz            | b0994dfa931f7243920ea170f278a19140a3a902 | sJlN+pMfckOSDqFw8nihkUCjqQI | 109.192.255.149 |              24 |
| DarkShark           | 8956fff9d2cfb7793ca1efcc8f36691e5857b723 | iVb/+dLPt3k8oe/MjzZpHlhXtyM | 104.156.231.90  |              24 |
| FoeBuD3             | fdfd125372a694f0477f0c4322e613516a44df04 | /f0SU3KmlPBHfwxDIuYTUWpE3wQ | 85.214.73.63    |              24 |
| alphaforce          | 0ce0c74bfdee4d3d10dc962d2fcf3c430aab27fd | DODHS/3uTT0Q3JYtL888QwqrJ/0 | 193.95.228.232  |              24 |
| SmartGives          | 82d90a0a57a7491eb1dc151d3db7818d21e4cdeb | gtkKClenSR6x3BUdPbeBjSHkzes | 91.185.200.221  |              24 |
| ILovePuffy          | 9afb2c97f17d85795df4ffe87206bee42126b957 | mvssl/F9hXld9P/ocga+5CEmuVc | 109.190.57.29   |              24 |
| TorAustralisXI      | df6057a9faa1bcdaf0650b1cec45592f7894945a | 32BXqfqhvNrwZQsc7EVZL3iUlFo | 23.235.237.80   |              24 |
| PPTOR0042           | d6ebe3fc99db340fbd30ed750272c04f4f515fbf | 1uvj/JnbNA+9MO11AnLAT09RX78 | 5.135.143.84    |              24 |
| phkrdotde           | 25ffec472d4b6519bb21364de943492ab1eb2a4a | Jf/sRy1LZRm7ITZN6UNJKrHrKko | 85.214.28.152   |              24 |
| ittkvpstor          | 5ec452650e54864b9142def6060356a43fe0b6e8 | XsRSZQ5UhkuRQt72BgNWpD/gtug | 81.169.254.31   |              24 |
| MikaelX             | 03016a8c0613e57f94cce07d57ea8e1ea71f8d12 | AwFqjAYT5X+UzOB9V+qOHqcfjRI | 212.181.193.188 |              24 |
| dystorpia           | 5b0d59516d919026765e0772bc74c08a5c0d79f6 | Ww1ZUW2RkCZ2XgdyvHTAilwNefY | 91.66.213.42    |              24 |
| callosum            | caa6a2924aebf259bfbf4db163e70de8ba2eb330 | yqaikkrr8lm/v02xY+cN6LouszA | 98.22.221.97    |              24 |
| AsusWRTNode         | 9dd337d518be2a872c938536c8645e15a1c53c79 | ndM31Ri+Kocsk4U2yGReFaHFPHk | 93.80.130.24    |              24 |
| astonMartin600      | f7b4bc6bfba462650ac41e5af7f58f67d7630e7e | 97S8a/ukYmUKxB5a9/WPZ9djDn4 | 54.213.13.21    |              24 |
| blackenedtor451     | 4ea5e5468d068212408e1493322487008f8a11e3 | TqXlRo0GghJAjhSTMiSHAI+KEeM | 209.159.136.30  |              24 |
| justdoit            | 4f10575974b9333e3cc23c420113870d1497d95f | TxBXWXS5Mz48wjxCAROHDRSX2V8 | 66.85.131.91    |              24 |
| drdruu              | fe3adfcd6a60ef866aa25f42d019e1f6fb9fd7b7 | /jrfzWpg74Zqol9C0Bnh9vuf17c | 72.64.85.193    |              24 |
| Sunpet              | 330a2683af9fa4b5c37c2c68adca2ac76cbf4cc6 | Mwomg6+fpLXDfCxorcoqx2y/TMY | 89.176.140.190  |              24 |
| icebeerNLHP         | 4dfbc94b1d629e3522f490e9077238d9f817e692 | TfvJSx1injUi9JDpB3I42fgX5pI | 5.255.67.125    |              24 |
| 298443972           | 501c2defe9691fee5d6289d0b7f732fc0a3d74d9 | UBwt7+lpH+5dYonQt/cy/Ao9dNk | 5.172.140.183   |              24 |
| krosnovorg          | 5d00f567b8e968b514527b608f1d9cf2e2d0e64e | XQD1Z7jpaLUUUntgjx2c8uLQ5k4 | 46.233.0.70     |              24 |
| osprey              | a51345fc19e96d835c2d9cef316e765f66ff9091 | pRNF/BnpbYNcLZzvMW52X2b/kJE | 199.127.56.76   |              24 |
| LuluBAR             | becfbd8450f26c64a5ffceac81851f8f39867d72 | vs+9hFDybGSl/86sgYUfjzmGfXI | 5.104.107.81    |              24 |
| jegoRelay007        | ed0e8bfc8b2388d815c7b8efd2179d258c27c1e6 | 7Q6L/IsjiNgVx7jv0hedJYwnweY | 103.25.56.16    |              24 |
| torhauseresp        | 281657ebb5b2f4d173b5a999169f27836023acb4 | KBZX67Wy9NFztamZFp8ng2AjrLQ | 198.178.231.250 |              24 |
| dizum               | 7ea6ead6fd83083c538f44038bbfa077587dd755 | fqbq1v2DCDxTj0QDi7+gd1h911U | 194.109.206.212 |              24 |
| servbr5a            | b71cfeb11d541d40d9c6eb74f296bb897ad0903f | txz+sR1UHUDZxut08pa7iXrQkD8 | 212.83.158.5    |              24 |
| sguardolupo         | 0d3ebc540768bd926a2943474d8dac2ccafab68a | DT68VAdovZJqKUNHTY2sLMr6too | 176.56.235.26   |              24 |
| TransMiNn20         | 94146fc84c6e2f71e80c51193b071b244d944a1d | lBRvyExuL3HoDFEZOwcbJE2USh0 | 185.8.237.78    |              24 |
| zzegu7eePh0chej     | 4f7914f3e00dccc0c2230af56ff03b6c85b4f7e1 | T3kU8+ANzMDCIwr1b/A7bIW09+E | 5.79.68.137     |              24 |
| PrivacyRepublic0010 | 1bc2b83e22a3a88e078ec4921a0ceedc75819a37 | G8K4PiKjqI4HjsSSGgzu3HWBmjc | 178.32.181.105  |              24 |
| 007f0101            | 88a65618567e116107d490f89d6b4089dc9de3a0 | iKZWGFZ+EWEH1JD4nWtAidyd46A | 195.154.75.123  |              24 |
| torrelay7769        | 8a7c033e00b93336811db631379ba22f488b41f8 | inwDPgC5MzaBHbYxN5uiL0iLQfg | 96.126.110.252  |              24 |
| PrivacyRepublic0004 | 678103bef5266fd1ff1a37447c0e8a14ef163464 | Z4EDvvUmb9H/GjdEfA6KFO8WNGQ | 178.32.181.99   |              24 |
| cmdrelay1           | ead52b3fff36ea40121ff088dcd3d3a4217a54f9 | 6tUrP/826kASH/CI3NPTpCF6VPk | 23.92.29.173    |              24 |
| Kyat1               | d369d86310cbc8ffbe064940b55458c754f1b03c | 02nYYxDLyP++BklAtVRYx1TxsDw | 195.154.114.185 |              24 |
| 0x3d003             | 2f9a6b5adbe91ec69f55aafb7dc49619d31b8324 | L5prWtvpHsafVar7fcSWGdMbgyQ | 85.93.208.29    |              24 |
| Kankroc             | d510dbb014e4aa32ae38a3946e3c936483b8ae7b | 1RDbsBTkqjKuOKOUbjyTZIO4rns | 198.20.105.40   |              24 |
| NiGH                | 430cb4126c0a374bd3873a92e88878618bb0ca0d | Qwy0EmwKN0vThzqS6Ih4YYuwyg0 | 213.89.198.72   |              24 |
| dobbo               | 61c5a56375d6fafc68211d11f7915369a8e48dec | YcWlY3XW+vxoIR0R95FTaajkjew | 5.103.105.40    |              24 |
| WhiteyAGM03         | fa9dbe470933f6ccc97b01ae257eaca622f364aa | +p2+Rwkz9szJewGuJX6spiLzZKo | 5.104.224.246   |              24 |
| HUfmsketchTest3     | fcbd005f00c938319ee8c3d1c17367a005bd0d37 | /L0AXwDJODGe6MPRwXNnoAW9DTc | 141.20.33.70    |              24 |
| dopetorII           | e29e84f8b90bfa03d964a10d1317e30dfb862ba3 | 4p6E+LkL+gPZZKENExfjDfuGK6M | 89.233.181.6    |              24 |
| LonelyAngel         | 231c31686964e7706e5166645b9b4fe82c56bf48 | IxwxaGlk53BuUWZkW5tP6CxWv0g | 180.147.243.75  |              24 |
| orangeApe           | 542568bffc36279ce0ca9d4ff4972330477f85e0 | VCVov/w2J5zgyp1P9JcjMEd/heA | 37.235.55.83    |              24 |
| IG                  | 8a0eef715cbc7cad5d271f1b3609e6d36e12127e | ig7vcVy8fK1dJx8bNgnm024SEn4 | 216.48.160.200  |              24 |
| tuxington           | 3a1ffd6c31634db2b97f1900a564b36703ba423e | Oh/9bDFjTbK5fxkApWSzZwO6Qj4 | 192.30.34.99    |              24 |
| OOHbWdDLfb          | a35e3d5063e8f17088240894a4a81f2116466381 | o149UGPo8XCIJAiUpKgfIRZGY4E | 54.187.89.27    |              24 |
| allah               | 020f5772b137e3dec6b1c16f6dc34613bb09ac00 | Ag9XcrE3497GscFvbcNGE7sJrAA | 89.75.87.169    |              24 |
| banana              | 893bae566fd53e5e95e0304ba7ade5183823b7c3 | iTuuVm/VPl6V4DBLp63lGDgjt8M | 69.115.194.141  |              24 |
| pGuard              | 6a32cdcce460ff7955d281785b942a9ed294fa5c | ajLNzORg/3lV0oF4W5QqntKU+lw | 46.183.220.4    |              24 |
| WalKbUe2o7FC        | f52e99e97b8332abfb3bd1a0e616b9b40a5b92c3 | 9S6Z6XuDMqv7O9Gg5ha5tApbksM | 132.248.30.12   |              24 |
| ILikeTurtles        | 086dd1401ea27e25a720b63186ad11066119e768 | CG3RQB6ifiWnILYxhq0RBmEZ52g | 71.85.128.188   |              24 |
| transitiv           | c497c37b92d8a748eee0fe2799def1c5fdb646a1 | xJfDe5LYp0ju4P4nmd7xxf22RqE | 84.200.25.74    |              24 |
| Tardis              | d941d380e5228e7b4d372af4d484629a96dc48b9 | 2UHTgOUijntNNyr01IRimpbcSLk | 158.255.212.179 |              24 |
| torexit03           | ffac0f4c85052f696ebb9517dd6e2e8b830835dd | /6wPTIUFL2luu5UX3W4ui4MINd0 | 46.23.72.98     |              24 |
| deadlayerrelay      | 10729b8d1c3044f66c34266b95d0f4d6962f1dc0 | EHKbjRwwRPZsNCZrldD01pYvHcA | 107.188.130.152 |              24 |
| bitcoinmarketmaker  | 7362a321cb0bac3e9c0c36293510d21122b0b95f | c2KjIcsLrD6cDDYpNRDSESKwuV8 | 37.48.87.37     |              24 |
| BeagleBoneBlackA5B1 | efe9bc81fbce1cc52e1dca97e760723cad622e1c | 7+m8gfvOHMUuHcqX52ByPK1iLhw | 24.12.250.200   |              24 |
| ansibleTorRelay     | 790c1c385cb7f394d86c40c3d2522529db47f272 | eQwcOFy385TYbEDD0lIlKdtH8nI | 108.20.78.135   |              24 |
| hallertau           | e5f9690deb83691be435d6c9b62c56b4ea836afb | 5flpDeuDaRvkNdbJtixWtOqDavs | 198.211.121.248 |              24 |
| shammas             | 25b48554cba4b4b2f416df7c93bbd6031fb85813 | JbSFVMuktLL0Ft98k7vWAx+4WBM | 23.239.10.144   |              24 |
| fulpool             | c9de2883068c533ff4e18fb3836e7947f7f8fbc8 | yd4ogwaMUz/04Y+zg255R/f4+8g | 66.228.56.76    |              24 |
| JAJTor354           | 4266ea21f39c0aa7ed90eddb5280fe8d548bc4ef | QmbqIfOcCqftkO3bUoD+jVSLxO8 | 66.177.51.2     |              24 |
| servbr4a            | 5a16f7e31b26f286889f20027f57a5e253af3f23 | Whb34xsm8oaInyACf1el4lOvPyM | 62.210.84.20    |              24 |
| HankSmith           | 957a15b8a61b3bc1d11e7c4e92dff6c6aa015bca | lXoVuKYbO8HRHnxOkt/2xqoBW8o | 93.92.204.6     |              24 |
| torpidsCAovh        | cedd9c7c371e753cdd14d292bce1c7b8f4734d25 | zt2cfDcedTzdFNKSvOHHuPRzTSU | 198.50.146.40   |              24 |
| Dynasty             | cf4e0b54ab9cac5a368bbd826886c2dbad69d067 | z04LVKucrFo2i72CaIbC261p0Gc | 195.154.5.225   |              24 |
| faust               | 06a58ac75872001dfcf4dc7cc025ead5700f3a7c | BqWKx1hyAB389Nx8wCXq1XAPOnw | 80.112.160.128  |              24 |
| Svarog              | 9d8aab5ed15e024fb613545524bb2072129d2773 | nYqrXtFeAk+2E1RVJLsgchKdJ3M | 96.43.142.37    |              24 |
| frankenstein        | 5f07e2993c5e3210b23319f77c612debd3641eb8 | XwfimTxeMhCyMxn3fGEt69NkHrg | 81.218.235.162  |              24 |
| siteRcomplex        | 484de00dcbc06d7ab551888cde214b543f1693b1 | SE3gDcvAbXq1UYiM3iFLVD8Wk7E | 128.206.14.126  |              24 |
| taitorrelayservers  | 83002f88ec7fa5c306fd1bf157f2eaf25979d7ff | gwAviOx/pcMG/RvxV/Lq8ll51/8 | 103.17.11.23    |              24 |
| PepejsonSecond      | 69a5c0a4d5217f7df8f52186b4b19be8320c3199 | aaXApNUhf3349SGGtLGb6DIMMZk | 178.62.154.95   |              24 |
| HellKern            | 19a14c81b4876f5fb961c99cec5e5b4b0ad9afc7 | GaFMgbSHb1+5Ycmc7F5bSwrZr8c | 37.48.66.15     |              24 |
| PPTOR0006           | 815abe3eb7b99959bfc7851f2edeec3856328bfd | gVq+Pre5mVm/x4UfLt7sOFYyi/0 | 5.79.71.195     |              24 |
